timestamp,device_id,temperature,humidity
2024-08-01 00:00:00+00:00,device-001,23.75,45.29
2024-08-01 00:01:00+00:00,device-001,23.46,46.46
2024-08-01 00:02:00+00:00,device-001,23.57,44.51
2024-08-01 00:03:00+00:00,device-001,23.54,45.78
2024-08-01 00:04:00+00:00,device-001,23.55,46.57
2024-08-01 00:05:00+00:00,device-001,24.01,45.54
2024-08-01 00:06:00+00:00,device-001,23.49,45.59
2024-08-01 00:07:00+00:00,device-001,23.28,45.25
2024-08-01 00:08:00+00:00,device-001,24.11,45.35
2024-08-01 00:09:00+00:00,device-001,24.14,45.52
2024-08-01 00:10:00+00:00,device-001,24.25,45.39
2024-08-01 00:11:00+00:00,device-001,24.2,45.58
2024-08-01 00:12:00+00:00,device-001,23.83,45.77
2024-08-01 00:13:00+00:00,device-001,24.11,45.44
2024-08-01 00:14:00+00:00,device-001,24.34,45.12
2024-08-01 00:15:00+00:00,device-001,24.14,46.11
2024-08-01 00:16:00+00:00,device-001,24.07,44.94
2024-08-01 00:17:00+00:00,device-001,24.57,44.74
2024-08-01 00:18:00+00:00,device-001,24.23,45.25
2024-08-01 00:19:00+00:00,device-001,24.43,45.28
2024-08-01 00:20:00+00:00,device-001,24.46,45.6
2024-08-01 00:21:00+00:00,device-001,23.74,45.61
2024-08-01 00:22:00+00:00,device-001,25.01,43.95
2024-08-01 00:23:00+00:00,device-001,24.06,45.32
2024-08-01 00:24:00+00:00,device-001,24.02,45.81
2024-08-01 00:25:00+00:00,device-001,24.22,45.9
2024-08-01 00:26:00+00:00,device-001,24.41,46.14
2024-08-01 00:27:00+00:00,device-001,24.27,46.33
2024-08-01 00:28:00+00:00,device-001,23.45,45.14
2024-08-01 00:29:00+00:00,device-001,24.15,44.91
2024-08-01 00:30:00+00:00,device-001,24.54,45.89
2024-08-01 00:31:00+00:00,device-001,24.04,46.22
2024-08-01 00:32:00+00:00,device-001,24.7,46.35
2024-08-01 00:33:00+00:00,device-001,24.81,45.3
2024-08-01 00:34:00+00:00,device-001,24.06,46.32
2024-08-01 00:35:00+00:00,device-001,24.5,44.16
2024-08-01 00:36:00+00:00,device-001,24.89,45.78
2024-08-01 00:37:00+00:00,device-001,24.15,45.79
2024-08-01 00:38:00+00:00,device-001,24.74,45.33
2024-08-01 00:39:00+00:00,device-001,23.94,45.66
2024-08-01 00:40:00+00:00,device-001,24.58,44.24
2024-08-01 00:41:00+00:00,device-001,24.48,45.08
2024-08-01 00:42:00+00:00,device-001,24.63,44.57
2024-08-01 00:43:00+00:00,device-001,24.78,45.08
2024-08-01 00:44:00+00:00,device-001,23.92,45.39
2024-08-01 00:45:00+00:00,device-001,24.5,45.2
2024-08-01 00:46:00+00:00,device-001,24.17,44.94
2024-08-01 00:47:00+00:00,device-001,24.86,45.05
2024-08-01 00:48:00+00:00,device-001,24.44,44.19
2024-08-01 00:49:00+00:00,device-001,24.59,44.83
2024-08-01 00:50:00+00:00,device-001,24.9,45.43
